Name der Schule;Adresse (Straße);Adresse (Ort);region;Adresse (PLZ);country;Webseite der Schule;Logo der Schule;schulform
BBS II Northeim;Sudheimer Straße 24;Northeim;Niedersachsen;37154;Deutschland;https://www.Bbs2-Northeim.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/07/7B4C5E45-5857-488A-BE96-26DFECAA436C.png;Berufsschule
DPFA-Regenbogenschulen Rabenau;Schulstraße 6;Rabenau;Sachsen;1734;Deutschland;https://www.dpfa-rabenau.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/06/Regenbogen_Logo-002.png;Schulart mit mehreren Bildungsgängen
Freie Aktive Landschule e.V.;6 Dorfgrabenweg;Hendungen;Bayern;97640;Deutschland;https://www.landschule-hendungen.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/06/Logo_png.png;Schulart mit mehreren Bildungsgängen
Oberschule Ebstorf;Fischerstraße 7;Ebstorf;Niedersachsen;29574;Deutschland;https://oberschule-ebstorf.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/06/Logo-OBS-Ebstorf.JPG;Oberschule
IGS Lehrte;Südstrasse 3;Hannover;Niedersachsen;30519;Deutschland;https://www.igs-lehrte.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/06/Logo-IGS-Lehrte.png;
Albert-Einstein-Gymnasium Hameln;Basbergstr. 112;Hameln;Niedersachsen;31787;Deutschland;http://www.aeghm.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/06/AEG-Logo.jpg;Gymnasium
Otfried-Preußler-Schule Stephanskirchen;Schömeringer Straße 35 a-d;Stephanskirchen;Bayern;83071;Deutschland;https://ops-stephanskirchen.de/;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/05/Schullogo-opsweb.jpg;Grundschule
Grundschule Neuenhaus;1 - 3 Bosthorst;Neuenhaus;Niedersachsen;49828;Deutschland;HTTP://www.Grundschule-Neuenhaus.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/04/E9049546-DDB8-4A04-95FD-04A104DACB44.jpeg;Grundschule
KGS-Leeste;Schulstraße 40;Weyhe;Niedersachsen;28844;Deutschland;https://www.kgs-leeste.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/03/LOGO-KGS-Leeste.png;Gesamtschule
Grundschule Hemslingen;Schulstraße 16;Hemslingen;Niedersachsen;27386;Deutschland;http://grundschule.hemslingen.de;https://schule-im-aufbruch.de/wp-content/uploads/gravity_forms/11-b4dd62241d2af8e4c20c67d3bbc9500c/2022/03/Logo-GSH.png;Grundschule
